,index,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,Tenure_month,FALSE,has_churned,has_phone,has_internet,has_internet_and_phone,partner_dependents,Start_day,Monthly_charges,Validation,Contract Type,Phone Type,Internet Type,Monthly Tenure,single_no_dependents,projected
20,2863,4080-OGPJL,Female,0,No,No,2,1,0,Electronic check,71.15,563.65,Yes,7.9,True,True,True,True,True,4,2020-07-02,71.15,1,Month-to-Month,Two or More Lines,DSL,8.0,1,1
21,2890,4116-TZAQJ,Female,0,No,No,1,2,0,Credit card (automatic),74.25,639.65,Yes,8.6,True,True,True,True,True,4,2020-06-02,74.25,1,Month-to-Month,One Line,Fiber Optic,9.0,1,1
22,2896,4124-MMETB,Male,0,No,No,2,2,0,Credit card (automatic),94.65,2104.55,Yes,22.2,False,True,True,True,True,4,2019-04-02,94.65,1,Month-to-Month,Two or More Lines,Fiber Optic,22.0,1,1
23,5457,7675-OZCZG,Female,1,No,No,1,1,0,Electronic check,45.0,127.1,Yes,2.8,True,True,True,True,True,4,2020-12-02,45,1,Month-to-Month,One Line,DSL,3.0,1,1
24,2818,4009-ALQFH,Female,0,No,No,1,2,0,Electronic check,99.5,2369.05,Yes,23.8,True,True,True,True,True,4,2019-03-02,99.5,1,Month-to-Month,One Line,Fiber Optic,24.0,1,1
25,2824,4013-TLDHQ,Male,0,No,No,1,2,0,Electronic check,78.25,1490.95,Yes,19.1,False,True,True,True,True,4,2019-07-02,78.25,1,Month-to-Month,One Line,Fiber Optic,19.0,1,1
26,2825,4013-UBXWQ,Female,0,No,No,2,1,0,Electronic check,74.65,521.1,Yes,7.0,True,True,True,True,True,4,2020-08-02,74.65,1,Month-to-Month,Two or More Lines,DSL,7.0,1,1
27,5505,7752-XUSCI,Female,0,No,No,2,2,0,Electronic check,105.9,6396.45,Yes,60.4,True,True,True,True,True,4,2016-02-02,105.9,1,Month-to-Month,Two or More Lines,Fiber Optic,60.0,1,1
28,2835,4030-VPZBD,Female,0,No,No,0,1,0,Electronic check,30.9,59.05,Yes,1.9,True,True,False,True,False,4,2021-01-02,30.9,1,Month-to-Month,No Phone Service,DSL,2.0,1,1
29,5493,7730-IUTDZ,Male,0,No,No,1,2,0,Electronic check,75.2,3198.6,Yes,42.5,False,True,True,True,True,4,2017-08-02,75.2,1,Month-to-Month,One Line,Fiber Optic,43.0,1,1
30,2853,4074-SJFFA,Female,0,No,No,1,1,0,Mailed check,54.75,54.75,Yes,1.0,True,True,True,True,True,4,2021-01-02,54.75,1,Month-to-Month,One Line,DSL,1.0,1,1
31,2858,4078-SAYYN,Female,0,No,No,2,2,0,Electronic check,100.75,1129.75,Yes,11.2,True,True,True,True,True,4,2020-03-02,100.75,1,Month-to-Month,Two or More Lines,Fiber Optic,11.0,1,1
32,2613,3722-WPXTK,Male,0,No,No,1,2,0,Electronic check,88.35,88.35,Yes,1.0,False,True,True,True,True,4,2021-01-02,88.35,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
33,5617,7912-SYRQT,Female,0,No,No,2,2,0,Bank transfer (automatic),75.1,552.95,Yes,7.4,True,True,True,True,True,4,2020-07-02,75.1,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
34,2610,3721-CNEYS,Female,0,No,No,1,2,0,Electronic check,70.95,137.95,Yes,1.9,True,True,True,True,True,4,2021-01-02,70.95,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
35,2632,3744-ZRRDZ,Male,0,No,No,2,2,0,Electronic check,82.35,1852.85,Yes,22.5,False,True,True,True,True,4,2019-04-02,82.35,1,Month-to-Month,Two or More Lines,Fiber Optic,22.0,1,1
36,5606,7893-IXHRQ,Male,0,No,No,1,0,0,Electronic check,20.55,20.55,Yes,1.0,False,True,True,False,False,4,2021-01-02,20.55,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
37,2636,3750-CKVKH,Male,0,No,No,1,2,0,Electronic check,67.75,116.65,Yes,1.7,False,True,True,True,True,4,2021-01-02,67.75,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
38,2639,3751-KTZEL,Female,0,No,No,0,1,0,Mailed check,35.05,35.05,Yes,1.0,True,True,False,True,False,4,2021-01-02,35.05,1,Month-to-Month,No Phone Service,DSL,1.0,1,1
39,2642,3754-DXMRT,Male,1,No,No,1,1,0,Electronic check,44.15,92.65,Yes,2.1,False,True,True,True,True,4,2020-12-02,44.15,1,Month-to-Month,One Line,DSL,2.0,1,1
40,5601,7881-INRLC,Male,0,No,No,2,2,0,Credit card (automatic),100.85,4740.0,Yes,47.0,False,True,True,True,True,4,2017-03-02,100.85,1,Month-to-Month,Two or More Lines,Fiber Optic,47.0,1,1
41,5600,7881-EVUAD,Female,0,No,No,0,1,0,Electronic check,42.6,72.4,Yes,1.7,True,True,False,True,False,4,2021-01-02,42.6,1,Month-to-Month,No Phone Service,DSL,2.0,1,1
42,2573,3677-TNKIO,Female,0,No,No,1,2,0,Credit card (automatic),71.0,914.0,Yes,12.9,True,True,True,True,True,4,2020-02-02,71,1,Month-to-Month,One Line,Fiber Optic,13.0,1,1
43,5632,7938-OUHIO,Male,0,No,No,1,2,0,Electronic check,98.7,293.65,Yes,3.0,False,True,True,True,True,4,2020-12-02,98.7,1,Month-to-Month,One Line,Fiber Optic,3.0,1,1
44,2578,3683-QKIUE,Female,0,No,No,1,1,0,Bank transfer (automatic),50.8,288.05,Yes,5.7,True,True,True,True,True,4,2020-09-02,50.8,1,Month-to-Month,One Line,DSL,6.0,1,1
45,5626,7927-AUXBZ,Female,0,No,No,1,2,0,Electronic check,85.15,2555.9,Yes,30.0,True,True,True,True,True,4,2018-08-02,85.15,1,Month-to-Month,One Line,Fiber Optic,30.0,1,1
46,2594,3707-GNWHM,Male,0,No,No,2,2,0,Mailed check,74.25,74.25,Yes,1.0,False,True,True,True,True,4,2021-01-02,74.25,1,Month-to-Month,Two or More Lines,Fiber Optic,1.0,1,1
47,2601,3716-BDVDB,Male,0,No,No,1,2,0,Electronic check,69.1,69.1,Yes,1.0,False,True,True,True,True,4,2021-01-02,69.1,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
48,5561,7831-QGOXH,Female,0,No,No,2,2,0,Electronic check,85.2,1553.9,Yes,18.2,True,True,True,True,True,4,2019-08-02,85.2,1,Month-to-Month,Two or More Lines,Fiber Optic,18.0,1,1
49,5559,7825-GKXMW,Female,0,No,No,1,1,0,Electronic check,45.8,45.8,Yes,1.0,True,True,True,True,True,4,2021-01-02,45.8,1,Month-to-Month,One Line,DSL,1.0,1,1
50,5558,7825-ECJRF,Female,0,No,No,1,2,0,Electronic check,106.6,1934.45,Yes,18.1,True,True,True,True,True,4,2019-08-02,106.6,1,Month-to-Month,One Line,Fiber Optic,18.0,1,1
51,2709,3858-VOBET,Male,0,No,No,2,2,0,Electronic check,74.95,1710.45,Yes,22.8,False,True,True,True,True,4,2019-04-02,74.95,1,Month-to-Month,Two or More Lines,Fiber Optic,23.0,1,1
52,2711,3859-CVCET,Female,0,No,No,1,1,0,Mailed check,45.65,191.05,Yes,4.2,True,True,True,True,True,4,2020-10-02,45.65,1,Month-to-Month,One Line,DSL,4.0,1,1
53,5565,7839-QRKXN,Female,0,No,No,1,0,0,Mailed check,20.2,20.2,Yes,1.0,True,True,True,False,False,4,2021-01-02,20.2,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
54,2718,3866-MDTUB,Female,0,No,No,1,1,0,Electronic check,70.75,146.9,Yes,2.1,True,True,True,True,True,4,2020-12-02,70.75,1,Month-to-Month,One Line,DSL,2.0,1,1
55,5552,7817-BOQPW,Female,0,No,No,2,2,0,Electronic check,75.55,166.3,Yes,2.2,True,True,True,True,True,4,2020-12-02,75.55,1,Month-to-Month,Two or More Lines,Fiber Optic,2.0,1,1
56,2721,3871-IKPYH,Male,1,No,No,1,2,0,Electronic check,69.1,69.1,Yes,1.0,False,True,True,True,True,4,2021-01-02,69.1,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
57,2724,3874-EQOEP,Male,0,No,No,2,2,0,Mailed check,95.0,655.5,Yes,6.9,False,True,True,True,True,4,2020-08-02,95,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
58,2725,3877-JRJIP,Male,0,No,No,2,1,0,Electronic check,59.85,59.85,Yes,1.0,False,True,True,True,True,4,2021-01-02,59.85,1,Month-to-Month,Two or More Lines,DSL,1.0,1,1
59,2728,3884-HCSWG,Female,0,No,No,1,2,0,Electronic check,70.0,1144.5,Yes,16.4,True,True,True,True,True,4,2019-10-02,70,1,Month-to-Month,One Line,Fiber Optic,16.0,1,1
60,2701,3842-IYKUE,Female,0,No,No,2,2,0,Credit card (automatic),85.3,2917.5,Yes,34.2,True,True,True,True,True,4,2018-04-02,85.3,1,Month-to-Month,Two or More Lines,Fiber Optic,34.0,1,1
61,2696,3834-XUIFC,Male,0,No,No,2,2,0,Mailed check,85.2,602.55,Yes,7.1,False,True,True,True,True,4,2020-07-02,85.2,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
62,2650,3765-JXVKY,Female,0,No,No,1,2,0,Electronic check,74.7,74.7,Yes,1.0,True,True,True,True,True,4,2021-01-02,74.7,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
63,2657,3776-EKTKM,Female,1,No,No,0,1,0,Electronic check,36.45,36.45,Yes,1.0,True,True,False,True,False,4,2021-01-02,36.45,1,Month-to-Month,No Phone Service,DSL,1.0,1,1
64,2668,3793-MMFUH,Female,1,No,No,2,2,0,Electronic check,95.05,1290.0,Yes,13.6,True,True,True,True,True,4,2020-01-02,95.05,1,Month-to-Month,Two or More Lines,Fiber Optic,14.0,1,1
65,5579,7854-FOKSF,Male,0,No,No,0,1,0,Electronic check,35.9,35.9,Yes,1.0,False,True,False,True,False,4,2021-01-02,35.9,1,Month-to-Month,No Phone Service,DSL,1.0,1,1
66,5577,7854-EDSSA,Male,0,No,No,2,1,0,Electronic check,59.0,1254.7,Yes,21.3,False,True,True,True,True,4,2019-05-02,59,1,Month-to-Month,Two or More Lines,DSL,21.0,1,1
67,2681,3806-DXQOM,Female,0,No,No,0,1,0,Electronic check,33.65,137.85,Yes,4.1,True,True,False,True,False,4,2020-10-02,33.65,1,Month-to-Month,No Phone Service,DSL,4.0,1,1
68,5572,7851-WZEKY,Female,0,No,No,2,2,0,Electronic check,95.15,196.9,Yes,2.1,True,True,True,True,True,4,2020-12-02,95.15,1,Month-to-Month,Two or More Lines,Fiber Optic,2.0,1,1
69,5571,7851-FLGGQ,Male,0,No,No,0,1,0,Mailed check,44.65,44.65,Yes,1.0,False,True,False,True,False,4,2021-01-02,44.65,1,Month-to-Month,No Phone Service,DSL,1.0,1,1
70,2688,3811-VBYBZ,Male,0,No,No,2,2,0,Electronic check,99.8,673.25,Yes,6.7,False,True,True,True,True,4,2020-08-02,99.8,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
71,5567,7841-TZDMQ,Male,0,No,No,1,1,0,Credit card (automatic),46.0,84.5,Yes,1.8,False,True,True,True,True,4,2021-01-02,46,1,Month-to-Month,One Line,DSL,2.0,1,1
72,2691,3814-MLAXC,Female,0,No,No,2,2,0,Credit card (automatic),79.85,2404.15,Yes,30.1,True,True,True,True,True,4,2018-08-02,79.85,1,Month-to-Month,Two or More Lines,Fiber Optic,30.0,1,1
73,2692,3815-SLMEF,Female,0,No,No,0,1,0,Mailed check,34.25,139.35,Yes,4.1,True,True,False,True,False,4,2020-10-02,34.25,1,Month-to-Month,No Phone Service,DSL,4.0,1,1
74,2910,4140-MUHUG,Female,1,No,No,1,2,0,Electronic check,86.85,220.95,Yes,2.5,True,True,True,True,True,4,2020-12-02,86.85,1,Month-to-Month,One Line,Fiber Optic,3.0,1,1
75,5342,7548-SEPYI,Female,0,No,No,1,2,0,Electronic check,96.25,512.45,Yes,5.3,True,True,True,True,True,4,2020-09-02,96.25,1,Month-to-Month,One Line,Fiber Optic,5.0,1,1
76,3126,4484-CGXFK,Female,0,No,No,1,1,0,Electronic check,55.3,196.15,Yes,3.5,True,True,True,True,True,4,2020-11-02,55.3,1,Month-to-Month,One Line,DSL,4.0,1,1
77,5346,7551-JOHTI,Female,0,No,No,1,0,0,Mailed check,19.5,19.5,Yes,1.0,True,True,True,False,False,4,2021-01-02,19.5,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
78,3131,4488-PSYCG,Male,0,No,No,1,0,0,Bank transfer (automatic),20.25,327.45,Yes,16.2,False,True,True,False,False,4,2019-10-02,20.25,1,Month-to-Month,One Line,No Internet Service,16.0,1,1
79,3135,4501-EQDRN,Female,0,No,No,1,2,0,Bank transfer (automatic),69.7,69.7,Yes,1.0,True,True,True,True,True,4,2021-01-02,69.7,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
80,3138,4503-BDXBD,Male,0,No,No,1,2,0,Electronic check,74.95,815.5,Yes,10.9,False,True,True,True,True,4,2020-04-02,74.95,1,Month-to-Month,One Line,Fiber Optic,11.0,1,1
81,3140,4505-EXZHB,Female,1,No,No,1,2,0,Electronic check,74.4,434.1,Yes,5.8,True,True,True,True,True,4,2020-09-02,74.4,1,Month-to-Month,One Line,Fiber Optic,6.0,1,1
82,3142,4510-HIMLV,Male,0,No,No,1,2,0,Electronic check,69.8,69.8,Yes,1.0,False,True,True,True,True,4,2021-01-02,69.8,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
83,3143,4510-PYUSH,Female,1,No,No,1,1,0,Credit card (automatic),57.15,2250.65,Yes,39.4,True,True,True,True,True,4,2017-11-02,57.15,1,Month-to-Month,One Line,DSL,39.0,1,1
84,3144,4512-ZUIYL,Female,0,No,No,1,2,0,Bank transfer (automatic),70.0,153.05,Yes,2.2,True,True,True,True,True,4,2020-12-02,70,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
85,3146,4514-GFCFI,Female,1,No,No,2,2,0,Electronic check,84.75,1350.15,Yes,15.9,True,True,True,True,True,4,2019-11-02,84.75,1,Month-to-Month,Two or More Lines,Fiber Optic,16.0,1,1
86,5337,7538-GWHML,Female,0,No,No,1,2,0,Electronic check,69.65,145.15,Yes,2.1,True,True,True,True,True,4,2020-12-02,69.65,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
87,5334,7534-BFESC,Male,1,No,No,2,2,0,Electronic check,76.1,1712.7,Yes,22.5,False,True,True,True,True,4,2019-04-02,76.1,1,Month-to-Month,Two or More Lines,Fiber Optic,23.0,1,1
88,3097,4441-NIHPT,Female,1,No,No,1,2,0,Electronic check,74.3,940.35,Yes,12.7,True,True,True,True,True,4,2020-02-02,74.3,1,Month-to-Month,One Line,Fiber Optic,13.0,1,1
89,3080,4415-IJZTP,Female,0,No,No,2,2,0,Electronic check,74.5,74.5,Yes,1.0,True,True,True,True,True,4,2021-01-02,74.5,1,Month-to-Month,Two or More Lines,Fiber Optic,1.0,1,1
90,5370,7580-UGXNC,Female,1,No,No,1,1,0,Mailed check,54.85,104.2,Yes,1.9,True,True,True,True,True,4,2021-01-02,54.85,1,Month-to-Month,One Line,DSL,2.0,1,1
91,3087,4424-TKOPW,Male,1,No,No,2,2,0,Electronic check,93.85,196.75,Yes,2.1,False,True,True,True,True,4,2020-12-02,93.85,1,Month-to-Month,Two or More Lines,Fiber Optic,2.0,1,1
92,3090,4430-UZIPO,Male,0,No,No,0,1,0,Mailed check,36.85,108.7,Yes,2.9,False,True,False,True,False,4,2020-12-02,36.85,1,Month-to-Month,No Phone Service,DSL,3.0,1,1
93,5366,7576-OYWBN,Male,1,No,No,2,2,0,Electronic check,76.05,231.8,Yes,3.0,False,True,True,True,True,4,2020-11-02,76.05,1,Month-to-Month,Two or More Lines,Fiber Optic,3.0,1,1
94,3093,4432-ADRLB,Male,0,No,No,1,1,0,Mailed check,44.65,74.9,Yes,1.7,False,True,True,True,True,4,2021-01-02,44.65,1,Month-to-Month,One Line,DSL,2.0,1,1
95,5353,7562-GSUHK,Female,0,No,No,1,2,0,Credit card (automatic),93.2,1573.7,Yes,16.9,True,True,True,True,True,4,2019-10-02,93.2,1,Month-to-Month,One Line,Fiber Optic,17.0,1,1
96,5362,7571-YXDAD,Female,0,No,No,2,2,0,Credit card (automatic),74.9,147.15,Yes,2.0,True,True,True,True,True,4,2021-01-02,74.9,1,Month-to-Month,Two or More Lines,Fiber Optic,2.0,1,1
97,5359,7568-PODML,Male,0,No,No,0,1,0,Mailed check,45.3,45.3,Yes,1.0,False,True,False,True,False,4,2021-01-02,45.3,1,Month-to-Month,No Phone Service,DSL,1.0,1,1
98,5355,7563-BIUPC,Male,0,No,No,1,2,0,Electronic check,80.6,415.55,Yes,5.2,False,True,True,True,True,4,2020-09-02,80.6,1,Month-to-Month,One Line,Fiber Optic,5.0,1,1
99,3201,4587-NUKOX,Female,0,No,No,1,2,0,Electronic check,79.1,246.5,Yes,3.1,True,True,True,True,True,4,2020-11-02,79.1,1,Month-to-Month,One Line,Fiber Optic,3.0,1,1
100,3203,4588-YBNIB,Female,0,No,No,1,0,0,Mailed check,19.6,19.6,Yes,1.0,True,True,True,False,False,4,2021-01-02,19.6,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
101,3207,4597-NUCQV,Male,1,No,No,2,2,0,Electronic check,101.25,2440.15,Yes,24.1,False,True,True,True,True,4,2019-02-02,101.25,1,Month-to-Month,Two or More Lines,Fiber Optic,24.0,1,1
102,3210,4603-JANFB,Male,0,No,No,1,2,0,Electronic check,69.85,69.85,Yes,1.0,False,True,True,True,True,4,2021-01-02,69.85,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
103,5304,7493-TPUWZ,Male,0,No,No,2,2,0,Electronic check,79.15,79.15,Yes,1.0,False,True,True,True,True,4,2021-01-02,79.15,1,Month-to-Month,Two or More Lines,Fiber Optic,1.0,1,1
104,5301,7488-MXJIV,Female,0,No,No,2,2,0,Electronic check,85.65,321.65,Yes,3.8,True,True,True,True,True,4,2020-11-02,85.65,1,Month-to-Month,Two or More Lines,Fiber Optic,4.0,1,1
105,3217,4614-NUVZD,Female,0,No,No,1,2,0,Electronic check,81.1,81.1,Yes,1.0,True,True,True,True,True,4,2021-01-02,81.1,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
106,5298,7481-ATQQS,Female,1,No,No,2,2,0,Credit card (automatic),90.85,4515.85,Yes,49.7,True,True,True,True,True,4,2017-01-02,90.85,1,Month-to-Month,Two or More Lines,Fiber Optic,50.0,1,1
107,3224,4625-EWPTF,Male,0,No,No,0,1,0,Electronic check,30.45,226.45,Yes,7.4,False,True,False,True,False,4,2020-07-02,30.45,1,Month-to-Month,No Phone Service,DSL,7.0,1,1
108,3227,4626-GYCZP,Male,0,No,No,2,2,0,Electronic check,93.85,635.6,Yes,6.8,False,True,True,True,True,4,2020-08-02,93.85,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
109,5296,7480-QNVZJ,Male,1,No,No,2,2,0,Electronic check,95.7,4816.7,Yes,50.3,False,True,True,True,True,4,2016-12-02,95.7,1,Month-to-Month,Two or More Lines,Fiber Optic,50.0,1,1
110,3230,4628-CTTLA,Male,0,No,No,0,1,0,Electronic check,39.3,2111.45,Yes,53.7,False,True,False,True,False,4,2016-09-02,39.3,1,Month-to-Month,No Phone Service,DSL,54.0,1,1
111,5295,7479-NITWS,Male,0,No,No,2,2,0,Credit card (automatic),89.35,631.85,Yes,7.1,False,True,True,True,True,4,2020-07-02,89.35,1,Month-to-Month,Two or More Lines,Fiber Optic,7.0,1,1
112,3233,4631-OACRM,Male,1,No,No,1,2,0,Electronic check,79.4,1156.1,Yes,14.6,False,True,True,True,True,4,2019-12-02,79.4,1,Month-to-Month,One Line,Fiber Optic,15.0,1,1
113,3197,4581-SSPWD,Female,0,No,No,2,2,0,Electronic check,75.8,246.3,Yes,3.2,True,True,True,True,True,4,2020-11-02,75.8,1,Month-to-Month,Two or More Lines,Fiber Optic,3.0,1,1
114,5312,7503-ZGUZJ,Male,0,No,No,2,2,0,Mailed check,84.65,84.65,Yes,1.0,False,True,True,True,True,4,2021-01-02,84.65,1,Month-to-Month,Two or More Lines,Fiber Optic,1.0,1,1
115,3158,4529-CKBCL,Female,0,No,No,1,2,0,Electronic check,80.2,146.05,Yes,1.8,True,True,True,True,True,4,2021-01-02,80.2,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
116,5332,7530-HDYDS,Female,0,No,No,1,2,0,Credit card (automatic),84.25,3264.5,Yes,38.7,True,True,True,True,True,4,2017-12-02,84.25,1,Month-to-Month,One Line,Fiber Optic,39.0,1,1
117,5328,7526-BEZQB,Male,0,No,No,2,2,0,Electronic check,96.05,1148.1,Yes,12.0,False,True,True,True,True,4,2020-03-02,96.05,1,Month-to-Month,Two or More Lines,Fiber Optic,12.0,1,1
118,3166,4541-RMRLG,Male,0,No,No,1,0,0,Electronic check,19.25,112.3,Yes,5.8,False,True,True,False,False,4,2020-09-02,19.25,1,Month-to-Month,One Line,No Internet Service,6.0,1,1
119,3170,4547-KQRTM,Female,0,No,No,2,2,0,Bank transfer (automatic),80.05,830.7,Yes,10.4,True,True,True,True,True,4,2020-04-02,80.05,1,Month-to-Month,Two or More Lines,Fiber Optic,10.0,1,1
120,3171,4547-LYTDD,Female,0,No,No,2,2,0,Electronic check,72.65,1194.3,Yes,16.4,True,True,True,True,True,4,2019-10-02,72.65,1,Month-to-Month,Two or More Lines,Fiber Optic,16.0,1,1
121,3172,4548-SDBKE,Female,0,No,No,2,2,0,Electronic check,85.2,474.8,Yes,5.6,True,True,True,True,True,4,2020-09-02,85.2,1,Month-to-Month,Two or More Lines,Fiber Optic,6.0,1,1
122,5318,7511-YMXVQ,Male,0,No,No,0,1,0,Electronic check,45.4,418.8,Yes,9.2,False,True,False,True,False,4,2020-05-02,45.4,1,Month-to-Month,No Phone Service,DSL,9.0,1,1
123,3191,4572-DVCGN,Female,0,No,No,1,2,0,Bank transfer (automatic),80.25,846.0,Yes,10.5,True,True,True,True,True,4,2020-04-02,80.25,1,Month-to-Month,One Line,Fiber Optic,11.0,1,1
124,3079,4412-YLTKF,Female,1,No,No,2,2,0,Electronic check,78.05,2135.5,Yes,27.4,True,True,True,True,True,4,2018-11-02,78.05,1,Month-to-Month,Two or More Lines,Fiber Optic,27.0,1,1
125,2911,4140-WJAWW,Female,0,No,No,1,0,0,Credit card (automatic),19.85,108.05,Yes,5.4,True,True,True,False,False,4,2020-09-02,19.85,1,Month-to-Month,One Line,No Internet Service,5.0,1,1
126,2953,4211-MMAZN,Male,0,No,No,1,0,0,Mailed check,20.25,20.25,Yes,1.0,False,True,True,False,False,4,2021-01-02,20.25,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
127,2960,4228-ZGYUW,Male,0,No,No,2,2,0,Electronic check,90.05,368.1,Yes,4.1,False,True,True,True,True,4,2020-10-02,90.05,1,Month-to-Month,Two or More Lines,Fiber Optic,4.0,1,1
128,2961,4229-CZMLL,Male,0,No,No,2,2,0,Electronic check,74.9,469.8,Yes,6.3,False,True,True,True,True,4,2020-08-02,74.9,1,Month-to-Month,Two or More Lines,Fiber Optic,6.0,1,1
